DISTRITO,POBREZA
PUCUSANA,23.739385
PUENTE PIEDRA  ,22.678988
SANTA ROSA,22.028653
INDEPENDENCIA,20.590949
VILLA EL SALVADOR,20.166089
PACHACAMAC,20.000896
ANCON  ,19.246935
PUNTA HERMOSA,19.183087
CARABAYLLO,19.176021
LURIN,18.264468
LURIGANCHO,18.234247
SAN JUAN DE LURIGANCHO,17.70394
CIENEGUILLA,17.529394
ATE,17.174936
VILLA MARIA DEL TRIUNFO,16.823515
EL AGUSTINO,16.689837
COMAS,16.044523
SAN JUAN DE MIRAFLORES,15.18192
PUNTA NEGRA,14.288621
SAN BARTOLO,13.336333
CHORRILLOS,11.60839
RIMAC,11.429909
LA VICTORIA,11.057018
SAN MARTIN DE PORRES,10.343179
CHACLACAYO,9.712625
SANTA ANITA,9.643694
LIMA,7.958984
LOS OLIVOS,7.881448
SANTA MARIA DEL MAR,7.065562
SAN LUIS,5.473567
BREÑA,4.041467
BARRANCO,3.172325
SURQUILLO,2.747559
SAN MIGUEL,1.581726
LINCE,1.452933
SANTIAGO DE SURCO,1.231283
LA MOLINA,1.168268
MAGDALENA DEL MAR,0.782218
PUEBLO LIBRE,0.779682
JESUS MARIA,0.519235
SAN BORJA,0.463208
MIRAFLORES,0.0855
SAN ISIDRO,0.0573463
